Average, Best
0.29996,0.543705
0.318486,0.543705
0.336033,0.596068
0.359096,0.596068
0.381596,0.596068
0.402572,0.596068
0.421745,0.649538
0.442422,0.681189
0.462055,0.681189
0.481331,0.681189
0.49955,0.752114
0.514807,0.752114
0.529239,0.752114
0.54634,0.808583
0.565048,0.818439
0.583542,0.818439
0.599828,0.818439
0.616592,0.818439
0.634291,0.818439
0.648981,0.818439
0.660747,0.819795
0.674607,0.842129
0.682405,0.842129
0.692872,0.842129
0.701383,0.842129
0.711247,0.858614
0.721113,0.863962
0.725365,0.863962
0.730029,0.871295
0.735988,0.885795
0.74138,0.885795
0.748305,0.885795
0.75271,0.885795
0.756294,0.891811
0.761066,0.891811
0.767075,0.891811
0.772717,0.891833
0.779262,0.899197
0.781595,0.902606
0.784442,0.9105
0.785916,0.9105
0.788932,0.919462
0.791416,0.932576
0.79451,0.932576
0.799305,0.932576
0.803453,0.932576
0.807473,0.932576
0.812451,0.9435
0.812467,0.9435
0.817242,0.952182
0.818688,0.952182
0.821768,0.952182
0.823181,0.952182
0.826403,0.953909
0.831705,0.953909
0.83587,0.953909
0.838486,0.953909
0.840334,0.953909
0.844342,0.956303
0.846489,0.95725
0.848711,0.95725
0.851038,0.95725
0.854303,0.95725
0.856829,0.95725
0.857186,0.967023
0.858934,0.967023
0.863638,0.967023
0.864467,0.967023
0.863582,0.967023
0.865773,0.967023
0.869237,0.967023
0.872302,0.970985
0.871502,0.977515
0.872244,0.977515
0.872698,0.977515
0.87438,0.977515
0.877583,0.977515
0.87906,0.977515
0.878887,0.978705
0.879952,0.978705
0.881443,0.978833
0.882407,0.982091
0.883379,0.982091
0.884954,0.982091
0.884106,0.982091
0.884293,0.982091
0.886944,0.982091
0.889217,0.982091
0.889767,0.98347
0.888331,0.98347
0.889033,0.983629
0.886996,0.983629
0.882554,0.983629
0.884303,0.983629
0.885016,0.983629
0.886867,0.983955
0.886701,0.986493
0.886876,0.986493
0.885772,0.986493
0.885413,0.986493
